RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250001,Amundsen High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1454,27.4,,,,43.1,25.9,23.6,30.4,2021
150162990250003,Bogan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,731,22.6,,,,67.2,2.8,1.7,4.5,2021
150162990250006,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,435,21.5,,,,48.0,10.8,5.4,,2021
150162990250011,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,532,24.9,,,,65.3,2.6,1.7,0.0,2021
150162990250012,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,284,31.4,,,,78.0,1.6,1.6,0.0,2021
150162990250013,Foreman High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,598,21.9,,,,60.3,2.4,4.0,2.4,2021
150162990250014,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1075,25.1,,,,33.6,17.2,21.5,25.0,2021
150162990250015,Gage Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,317,18.9,,,,70.1,2.8,0.9,1.6,2021
150162990250016,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,294,25.8,,,,68.1,7.1,2.4,1.5,2021
150162990250017,Harper High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,21,6.1,,,,38.1,,,,2021
150162990250019,Hirsch Metropolitan High Schoo,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,84,14.4,,,,71.8,3.3,3.3,8.3,2021
150162990250020,Hubbard High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1721,28.4,,,,35.2,9.4,5.6,9.6,2021
150162990250021,Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,734,20.8,,,,62.3,1.2,0.0,0.0,2021
150162990250022,Thomas Kelly College Preparato,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1769,24.4,,,,54.6,9.0,10.4,12.8,2021
150162990250023,Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,384,17.7,,,,13.4,4.8,2.5,8.1,2021
150162990250024,Kennedy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1467,25.1,,,,45.8,16.3,13.0,15.9,2021
150162990250025,Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2116,28.6,,,,31.2,41.9,33.6,69.8,2021
150162990250026,Lake View High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1352,25.7,,,,50.9,8.8,9.1,,2021
150162990250027,Lane Technical High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,4425,28.5,,,,15.6,85.3,82.2,64.0,2021
150162990250029,Marshall Metropolitan High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,211,19.7,,,,81.1,0.0,1.4,0.0,2021
150162990250030,Mather High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1619,24.8,,,,48.3,13.9,12.9,0.0,2021
150162990250031,Morgan Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1078,22.4,,,,51.8,11.3,2.3,14.7,2021
150162990250034,Phillips Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,590,27.0,,,,80.2,1.2,2.3,,2021
150162990250035,Roosevelt High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1013,27.1,,,,48.2,4.6,1.8,4.2,2021
150162990250036,Schurz High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1510,26.8,,,,57.8,7.3,5.7,11.2,2021
150162990250037,Senn High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1546,25.0,,,,33.6,23.0,16.8,20.8,2021
150162990250039,King College Prep High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,462,25.3,,,,22.6,21.4,14.3,,2021
150162990250041,Steinmetz College Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1151,26.7,,,,57.4,7.1,4.1,6.9,2021
150162990250042,Sullivan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,593,22.4,,,,60.2,9.2,9.2,10.5,2021
150162990250043,Taft High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,3949,29.0,,,,35.8,31.1,26.1,37.2,2021
150162990250044,Tilden Career Communty Academy,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,203,18.0,,,,79.6,0.0,4.3,8.3,2021
150162990250046,Von Steuben Metro Science HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1674,27.7,,,,31.9,37.4,39.1,25.8,2021
150162990250047,Lincoln Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2117,29.6,,,,29.6,50.4,45.7,36.4,2021
150162990250048,Washington G High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1503,28.7,,,,55.0,10.9,4.8,9.1,2021
150162990250049,Wells Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,312,20.3,,,,54.1,2.8,1.4,2.9,2021
150162990250052,Crane Medical Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,435,24.5,,,,68.1,4.3,3.3,5.2,2021
150162990250053,Disney II Magnet HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,781,23.9,,,,34.9,27.8,22.3,33.3,2021
150162990250526,Chicago Vocational Career Acad,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,727,24.8,,,,63.4,1.0,0.5,0.0,2021
150162990250531,Dunbar Vocational Career Acad ,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,410,24.7,,,,78.4,0.0,0.0,5.1,2021
150162990250533,Jones College Prep High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1964,27.3,,,,23.5,91.7,90.4,83.0,2021
150162990250534,Prosser Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1212,28.5,,,,46.1,17.7,9.5,18.2,2021
150162990250536,Richards Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,225,17.5,,,,77.1,1.4,1.4,,2021
150162990250537,Simeon Career Academy High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1403,30.1,,,,54.0,2.2,1.3,1.9,2021
150162990250543,Corliss High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,278,24.0,,,,62.5,3.0,1.5,0.0,2021
150162990250545,Clemente Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,685,22.9,,,,70.6,3.9,4.7,25.0,2021
150162990250616,Manley Career Academy High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,82,17.5,,,,72.9,0.0,0.0,0.0,2021
150162990250617,Curie Metropolitan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2990,27.3,,,,46.0,10.4,8.8,6.6,2021
150162990250763,Julian High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,386,25.7,,,,71.2,2.1,1.1,1.8,2021
150162990250764,Young Magnet High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2209,26.0,,,,15.2,91.4,91.1,87.7,2021
150162990250767,Juarez Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1700,26.4,,,,61.1,6.7,4.3,8.9,2021
150162990250772,Chicago HS for Agricult Scienc,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,819,21.4,,,,31.7,26.7,13.9,23.8,2021
150162990250779,Hancock College Preparatory HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1019,26.8,,,,18.6,40.0,38.4,40.4,2021
150162990250788,Brooks College Prep Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,983,26.0,,,,28.4,61.4,42.4,77.4,2021
150162990250794,Northside College Preparatory ,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1058,26.3,,,,12.8,95.0,94.3,77.5,2021
150162990250795,Chicago Military Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,280,18.7,,,,44.8,4.8,6.5,2.7,2021
150162990250796,Payton College Preparatory HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1216,26.8,,,,24.4,94.8,96.2,,2021
150162990250803,Phoenix Military Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,578,25.3,,,,51.5,12.7,8.7,30.8,2021
150162990250818,Spry Community Links High Scho,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,97,16.1,,,,75.0,0.0,0.0,,2021
150162990250820,Chicago Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,572,26.7,,,,15.4,18.8,15.3,13.9,2021
150162990250824,Bowen High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,209,20.9,,,,65.4,4.3,0.0,6.5,2021
150162990250825,North-Grand High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1039,27.5,,,,50.7,3.3,1.7,,2021
150162990250826,Raby High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,243,13.4,,,,89.1,0.0,0.0,,2021
150162990250827,Clark Acad Prep Magnet High Sc,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,517,24.3,,,,67.9,1.0,0.0,0.0,2021
150162990250828,Rickover Naval Academy High Sc,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,446,25.8,,,,44.4,8.8,5.5,8.5,2021
150162990250829,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,103,10.3,,,,75.0,7.7,0.0,,2021
150162990250830,World Language High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,346,19.6,,,,43.6,8.1,8.1,6.3,2021
150162990250831,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,49,12.6,,,,92.0,0.0,0.0,,2021
150162990250832,Devry Advantage Academy High S,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,158,17.3,,,,18.4,36.9,27.4,29.6,2021
150162990250833,Lindblom Math & Science Acad H,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1396,25.3,,,,42.3,50.7,46.7,79.8,2021
150162990250834,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,85,10.3,,,,52.1,0.0,0.0,0.0,2021
150162990250835,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,334,20.0,,,,58.0,3.9,1.3,1.7,2021
150162990250836,Multicultural Arts High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,223,18.9,,,,0.9,0.0,2.2,0.0,2021
150162990250837,Infinity Math  Science & Tech ,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,398,20.5,,,,38.9,15.6,16.7,16.9,2021
150162990250841,Collins Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,232,19.4,,,,81.4,3.3,0.0,6.7,2021
150162990250844,Austin College and Career Acad,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,233,21.5,,,,80.6,1.4,0.0,6.3,2021
150162990250847,Orr Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,220,26.1,,,,69.9,6.1,6.1,11.1,2021
150162990250848,Air Force Acad High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,193,19.7,,,,32.3,9.8,7.8,15.7,2021
150162990250849,Alcott College Prep,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,330,23.9,,,,55.0,11.9,10.7,6.7,2021
150162990250850,Chicago Technology Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,374,21.1,,,,48.8,5.9,2.9,,2021
150162990250851,Chicago HS for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,613,26.6,,,,14.4,29.8,16.5,,2021
150162990250855,Ogden Int High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,632,24.6,,,,42.0,13.8,11.2,,2021
150162990250856,Williams Medical Prep High Sch,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,107,11.8,,,,60.2,0.0,0.0,0.0,2021
150162990250857,Westinghouse High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1253,28.8,,,,48.7,31.3,23.3,,2021
150162990250859,Solorio Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1232,27.3,,,,46.8,19.6,19.6,31.8,2021
150162990250860,South Shore Intl Col Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,557,27.5,,,,61.3,11.1,3.0,,2021
150162990250861,Goode STEM Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,936,22.1,,,,47.1,5.7,5.2,1.2,2021
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,295,12.6,,,,51.9,3.1,0.0,8.0,2021
150162990250863,Walter Henri Dyett High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,578,20.2,,,,57.9,2.9,2.1,7.4,2021
150162990250867,Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,662,21.1,,,,70.2,7.7,7.7,,2021
15016905025001C,Intrinsic 2 Charter High Schoo,Intrinsic 2 Charter High Schoo,Chicago,Cook,HIGH SCHOOL,360,,,,,36.7,,,,2021
15016906025001C,Urban Prep West Charter School,Urban Prep West Charter School,Chicago,Cook,HIGH SCHOOL,82,14.2,,,,72.9,0.0,0.0,,2021
